source 	 p 	 r 	 t 

s01-cb.csv	1.0	1.0	2.222
s02-dma.csv	1.0	1.0	1.822
s03-ima-artists.xml	0.0	0.0	1.186
s04-ima-artworks.xml	1.0	1.0	2.09
s05-met.json	0.75	0.43	1.0
s06-npg.json	1.0	1.0	0.994
s07-s-13.json	0.6	0.6	1.062
s08-s-17-edited.xml	1.0	1.0	1.25
s09-s-18-artists.json	0.0	0.0	0.876
s10-s-18-artworks.json	1.0	0.8	0.995
s11-s-19-artists.json	0.0	0.0	1.03
s12-s-19-artworks.json	1.0	1.0	0.804
s13-s-art-institute-of-chicago.xml	1.0	1.0	0.955
s14-s-california-african-american.json	0.75	0.6	0.796
s15-s-detroit-institute-of-art.json	1.0	1.0	0.806
s16-s-hammer.xml	1.0	1.0	0.818
s17-s-houston-museum-of-fine-arts.json	1.0	1.0	0.832
s18-s-indianapolis-artists.xml	1.0	1.0	0.823
s19-s-indianapolis-artworks.xml	1.0	0.86	1.199
s20-s-lacma.xml	1.0	1.0	1.064
s21-s-met.json	0.43	0.33	1.291
s22-s-moca.xml	1.0	1.0	1.023
s23-s-national-portrait-gallery.json	1.0	1.0	1.279
s24-s-norton-simon.json	1.0	1.0	1.244
s25-s-oakland-museum-paintings.json	1.0	1.0	1.559
s26-s-san-francisco-moma.json	0.67	0.57	1.12
s27-s-the-huntington.json	1.0	1.0	0.816
s28-wildlife-art.csv	0.4	0.5	0.742
s29-gilcrease.csv	0.5	0.5	0.899
