source 	 p 	 r 	 t 

s01-cb.csv	0.88	0.88	0.729
s02-dma.csv	0.86	0.86	0.373
s03-ima-artists.xml	1.0	1.0	0.157
s04-ima-artworks.xml	0.76	0.54	0.245
s05-met.json	0.57	0.38	0.237
s06-npg.json	0.65	0.46	0.216
s07-s-13.json	0.6	0.47	0.221
s08-s-17-edited.xml	0.57	0.4	0.188
s09-s-18-artists.json	0.5	0.5	0.138
s10-s-18-artworks.json	0.64	0.56	0.216
s11-s-19-artists.json	1.0	0.83	0.115
s12-s-19-artworks.json	0.64	0.58	0.158
s13-s-art-institute-of-chicago.xml	0.77	0.77	0.174
s14-s-california-african-american.json	0.64	0.64	0.252
s15-s-detroit-institute-of-art.json	0.75	0.71	0.148
s16-s-hammer.xml	0.5	0.5	0.138
s17-s-houston-museum-of-fine-arts.json	0.71	0.75	0.179
s18-s-indianapolis-artists.xml	0.83	0.83	0.122
s19-s-indianapolis-artworks.xml	0.68	0.54	0.245
s20-s-lacma.xml	0.55	0.5	0.14
s21-s-met.json	0.36	0.14	0.138
s22-s-moca.xml	0.73	0.73	0.123
s23-s-national-portrait-gallery.json	0.65	0.46	0.16
s24-s-norton-simon.json	0.77	0.77	0.154
s25-s-oakland-museum-paintings.json	0.69	0.61	0.173
s26-s-san-francisco-moma.json	0.63	0.57	0.313
s27-s-the-huntington.json	0.8	0.8	0.131
s28-wildlife-art.csv	0.71	0.53	0.136
s29-gilcrease.csv	0.82	0.82	0.154
