source 	 p 	 r 	 t 

s01-cb.csv	0.0	0.0	1.742
s02-dma.csv	0.0	0.0	1.396
s03-ima-artists.xml	0.0	0.0	0.823
s04-ima-artworks.xml	0.0	0.0	2.567
s05-met.json	0.0	0.0	1.559
s06-npg.json	0.0	0.0	1.217
s07-s-13.json	0.0	0.0	1.437
s08-s-17-edited.xml	0.0	0.0	0.943
s09-s-18-artists.json	0.0	0.0	0.495
s10-s-18-artworks.json	0.0	0.0	1.037
s11-s-19-artists.json	0.0	0.0	0.547
s12-s-19-artworks.json	0.0	0.0	0.881
s13-s-art-institute-of-chicago.xml	0.0	0.0	0.95
s14-s-california-african-american.json	0.0	0.0	1.407
s15-s-detroit-institute-of-art.json	0.0	0.0	1.108
s16-s-hammer.xml	0.0	0.0	0.865
s17-s-houston-museum-of-fine-arts.json	0.0	0.0	1.292
s18-s-indianapolis-artists.xml	0.0	0.0	0.548
s19-s-indianapolis-artworks.xml	0.0	0.0	1.333
s20-s-lacma.xml	0.0	0.0	1.013
s21-s-met.json	0.67	0.22	0.864
s22-s-moca.xml	0.0	0.0	0.9
s23-s-national-portrait-gallery.json	0.0	0.0	0.893
s24-s-norton-simon.json	0.0	0.0	0.846
s25-s-oakland-museum-paintings.json	0.0	0.0	1.127
s26-s-san-francisco-moma.json	0.0	0.0	2.297
s27-s-the-huntington.json	0.0	0.0	0.977
s28-wildlife-art.csv	0.0	0.0	0.96
s29-gilcrease.csv	0.0	0.0	0.732
