source 	 p 	 r 	 t 

s01-cb.csv	0.48	0.43	0.74
s02-dma.csv	0.58	0.58	1.799
s03-ima-artists.xml	0.76	0.68	0.551
s04-ima-artworks.xml	0.65	0.56	1.19
s05-met.json	0.6	0.56	1.147
s06-npg.json	0.59	0.5	0.91
s07-s-13.json	0.57	0.51	0.919
s08-s-17-edited.xml	0.57	0.53	0.388
s09-s-18-artists.json	0.83	0.77	0.118
s10-s-18-artworks.json	0.75	0.72	0.969
s11-s-19-artists.json	0.33	0.36	0.52
s12-s-19-artworks.json	0.84	0.76	0.164
s13-s-art-institute-of-chicago.xml	0.81	0.76	0.254
s14-s-california-african-american.json	0.73	0.73	0.326
s15-s-detroit-institute-of-art.json	0.73	0.69	0.679
s16-s-hammer.xml	0.89	0.94	0.34
s17-s-houston-museum-of-fine-arts.json	0.83	0.78	0.217
s18-s-indianapolis-artists.xml	0.76	0.68	0.107
s19-s-indianapolis-artworks.xml	0.61	0.59	2.309
s20-s-lacma.xml	0.52	0.45	0.289
s21-s-met.json	0.57	0.52	0.434
s22-s-moca.xml	0.94	0.89	0.383
s23-s-national-portrait-gallery.json	0.54	0.49	0.895
s24-s-norton-simon.json	0.67	0.57	0.21
s25-s-oakland-museum-paintings.json	0.68	0.64	0.367
s26-s-san-francisco-moma.json	0.69	0.67	0.517
s27-s-the-huntington.json	0.77	0.72	0.846
s28-wildlife-art.csv	0.58	0.57	7.855
s29-gilcrease.csv	0.96	0.96	0.177
