source 	 p 	 r 	 t 

s01-cb.csv	0.59	0.57	1.482
s02-dma.csv	0.54	0.53	3.717
s03-ima-artists.xml	0.78	0.74	0.348
s04-ima-artworks.xml	0.58	0.54	1.359
s05-met.json	0.58	0.56	1.054
s06-npg.json	0.5	0.42	0.728
s07-s-13.json	0.58	0.54	1.744
s08-s-17-edited.xml	0.57	0.53	0.415
s09-s-18-artists.json	0.83	0.77	0.138
s10-s-18-artworks.json	0.72	0.72	0.915
s11-s-19-artists.json	0.44	0.5	0.439
s12-s-19-artworks.json	0.84	0.76	0.38
s13-s-art-institute-of-chicago.xml	0.81	0.72	0.52
s14-s-california-african-american.json	0.73	0.73	0.54
s15-s-detroit-institute-of-art.json	0.67	0.63	0.81
s16-s-hammer.xml	0.82	0.78	0.587
s17-s-houston-museum-of-fine-arts.json	0.76	0.69	0.503
s18-s-indianapolis-artists.xml	0.78	0.74	0.321
s19-s-indianapolis-artworks.xml	0.5	0.46	1.334
s20-s-lacma.xml	0.58	0.52	0.443
s21-s-met.json	0.55	0.48	0.631
s22-s-moca.xml	0.94	0.89	0.22
s23-s-national-portrait-gallery.json	0.51	0.46	0.952
s24-s-norton-simon.json	0.62	0.57	0.413
s25-s-oakland-museum-paintings.json	0.58	0.55	0.843
s26-s-san-francisco-moma.json	0.68	0.64	0.696
s27-s-the-huntington.json	0.58	0.56	1.045
s28-wildlife-art.csv	0.57	0.55	49.462
s29-gilcrease.csv	0.71	0.74	1.174
