source 	 p 	 r 	 t 

s01-cb.csv	0.42	0.35	2.299
s02-dma.csv	0.36	0.33	1.594
s03-ima-artists.xml	0.56	0.47	0.557
s04-ima-artworks.xml	0.39	0.33	1.061
s05-met.json	0.32	0.28	0.884
s06-npg.json	0.32	0.26	1.043
s07-s-13.json	0.36	0.31	1.06
s08-s-17-edited.xml	0.46	0.4	0.488
s09-s-18-artists.json	0.5	0.46	0.457
s10-s-18-artworks.json	0.54	0.52	0.646
s11-s-19-artists.json	0.23	0.21	0.344
s12-s-19-artworks.json	0.53	0.48	0.494
s13-s-art-institute-of-chicago.xml	0.5	0.45	0.739
s14-s-california-african-american.json	0.43	0.41	0.582
s15-s-detroit-institute-of-art.json	0.47	0.4	0.747
s16-s-hammer.xml	0.53	0.5	0.434
s17-s-houston-museum-of-fine-arts.json	0.54	0.47	0.687
s18-s-indianapolis-artists.xml	0.56	0.47	0.415
s19-s-indianapolis-artworks.xml	0.36	0.31	0.896
s20-s-lacma.xml	0.44	0.38	0.649
s21-s-met.json	0.36	0.3	0.707
s22-s-moca.xml	0.53	0.5	0.494
s23-s-national-portrait-gallery.json	0.33	0.29	1.057
s24-s-norton-simon.json	0.52	0.43	0.649
s25-s-oakland-museum-paintings.json	0.34	0.3	0.833
s26-s-san-francisco-moma.json	0.5	0.42	0.815
s27-s-the-huntington.json	0.59	0.53	0.845
s28-wildlife-art.csv	0.28	0.25	1.072
s29-gilcrease.csv	0.35	0.35	0.598
