source 	 p 	 r 	 t 

s01-cb.csv	0.56	0.45	1.378
s02-dma.csv	0.85	0.73	1.139
s03-ima-artists.xml	0.75	0.67	0.19
s04-ima-artworks.xml	0.57	0.44	1.559
s05-met.json	0.64	0.5	0.817
s06-npg.json	0.46	0.33	0.691
s07-s-13.json	0.64	0.5	1.119
s08-s-17-edited.xml	0.33	0.29	0.323
s09-s-18-artists.json	1.0	0.8	0.064
s10-s-18-artworks.json	0.45	0.5	0.394
s11-s-19-artists.json	0.2	0.17	0.127
s12-s-19-artworks.json	0.7	0.78	0.497
s13-s-art-institute-of-chicago.xml	0.82	0.69	0.618
s14-s-california-african-american.json	0.75	0.67	0.499
s15-s-detroit-institute-of-art.json	0.67	0.53	0.734
s16-s-hammer.xml	0.57	0.5	0.469
s17-s-houston-museum-of-fine-arts.json	0.73	0.57	0.509
s18-s-indianapolis-artists.xml	0.75	0.67	0.145
s19-s-indianapolis-artworks.xml	0.64	0.5	1.052
s20-s-lacma.xml	0.7	0.54	0.406
s21-s-met.json	0.77	0.71	1.01
s22-s-moca.xml	1.0	1.0	0.093
s23-s-national-portrait-gallery.json	0.46	0.32	0.614
s24-s-norton-simon.json	0.8	0.62	0.123
s25-s-oakland-museum-paintings.json	0.69	0.6	0.787
s26-s-san-francisco-moma.json	0.67	0.59	0.71
s27-s-the-huntington.json	0.73	0.57	0.527
s28-wildlife-art.csv	0.33	0.26	1.217
s29-gilcrease.csv	0.5	0.44	0.434
